Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35.0,No,Travel_Rarely,809,Research & Development,,3,Medical,1,14,1.0,Male,84,4,,Laboratory Technician,2,Married,2426,16479.0,0,Y,No,13,3,3,80,1,6,,3,5.0,4,0.0,3
29.0,No,Travel_Rarely,153,Research & Development,,2,Life Sciences,1,15,4.0,Female,49,2,2.0,Laboratory Technician,3,,4193,12682.0,0,Y,Yes,12,3,4,80,0,10,,3,,5,,8
31.0,No,Travel_Rarely,670,Research & Development,,1,Life Sciences,1,16,1.0,Male,31,3,1.0,Research Scientist,3,Divorced,2911,,1,Y,No,17,3,4,80,1,5,1.0,2,5.0,2,4.0,3
34.0,No,Travel_Rarely,1346,Research & Development,19.0,2,Medical,1,18,,Male,93,3,1.0,Laboratory Technician,4,,2661,8758.0,0,Y,No,11,3,3,80,1,3,,3,2.0,2,1.0,2
28.0,Yes,Travel_Rarely,103,Research & Development,24.0,3,Life Sciences,1,19,3.0,Male,50,2,1.0,Laboratory Technician,3,,2028,12947.0,5,Y,Yes,14,3,2,80,0,6,4.0,3,,2,,3
,No,Travel_Rarely,1389,Research & Development,21.0,4,Life Sciences,1,20,2.0,Female,51,4,3.0,Manufacturing Director,1,Divorced,9980,,1,Y,No,11,3,3,80,1,10,,3,10.0,9,8.0,8
,No,Travel_Rarely,334,Research & Development,,2,Life Sciences,1,21,,Male,80,4,1.0,Research Scientist,2,Divorced,3298,,0,Y,Yes,12,3,4,80,2,7,,2,6.0,2,0.0,5
22.0,No,Non-Travel,1123,Research & Development,,2,Medical,1,22,4.0,Male,96,4,1.0,Laboratory Technician,4,Divorced,2935,7324.0,1,Y,Yes,13,3,2,80,2,1,2.0,2,1.0,0,,0
,No,Travel_Rarely,1219,Sales,2.0,4,Life Sciences,1,23,1.0,Female,78,2,,Manager,4,Married,15427,22021.0,2,Y,No,16,3,3,80,0,31,3.0,3,,8,,7
,No,Travel_Rarely,371,Research & Development,,3,Life Sciences,1,24,4.0,Male,45,3,1.0,Research Scientist,4,,3944,,5,Y,Yes,11,3,3,80,0,6,3.0,3,3.0,2,,2
,No,Non-Travel,673,Research & Development,11.0,2,Other,1,26,1.0,Female,96,4,2.0,Manufacturing Director,3,,4011,8232.0,0,Y,No,18,3,4,80,1,5,,2,4.0,2,1.0,3
,Yes,Travel_Rarely,1218,Sales,,4,Life Sciences,1,27,3.0,Male,82,2,1.0,Sales Representative,1,Single,3407,,7,Y,No,23,4,2,80,0,10,,3,5.0,3,,3
,No,Travel_Rarely,419,Research & Development,,4,Life Sciences,1,28,1.0,Female,53,3,3.0,Research Director,2,,11994,21293.0,0,Y,No,11,3,3,80,0,13,,3,,6,,11
21.0,No,Travel_Rarely,391,Research & Development,15.0,2,Life Sciences,1,30,3.0,Male,96,3,1.0,Research Scientist,4,Single,1232,,1,Y,No,14,3,4,80,0,0,6.0,3,,0,0.0,0
34.0,Yes,Travel_Rarely,699,Research & Development,6.0,1,Medical,1,31,,Male,83,3,,Research Scientist,1,Single,2960,17102.0,2,Y,No,11,3,3,80,0,8,2.0,3,4.0,2,1.0,3
,No,Travel_Rarely,1282,Research & Development,,3,Other,1,32,3.0,Female,58,3,5.0,Manager,3,,19094,10735.0,4,Y,No,11,3,4,80,1,26,3.0,2,,13,4.0,8
32.0,Yes,Travel_Frequently,1125,Research & Development,,1,Life Sciences,1,33,2.0,Female,72,1,,Research Scientist,1,,3919,4681.0,1,Y,Yes,22,4,2,80,0,10,,3,10.0,2,6.0,7
42.0,No,Travel_Rarely,691,Sales,,4,Marketing,1,35,3.0,Male,48,3,,Sales Executive,2,,6825,,0,Y,No,11,3,4,80,1,10,2.0,3,,7,4.0,2
,No,Travel_Rarely,477,Research & Development,7.0,4,Medical,1,36,,Female,42,2,,Healthcare Representative,4,,10248,2094.0,3,Y,No,14,3,4,80,1,24,,3,,6,5.0,17
46.0,No,Travel_Rarely,705,Sales,2.0,4,Marketing,1,38,2.0,Female,83,3,,Manager,1,Single,18947,22822.0,3,Y,No,12,3,4,80,0,22,2.0,2,2.0,2,,1
,No,Travel_Rarely,924,Research & Development,2.0,3,Medical,1,39,,Male,78,3,,Laboratory Technician,4,,2496,6670.0,4,Y,No,11,3,4,80,0,7,3.0,3,1.0,1,0.0,0
,No,Travel_Rarely,1459,Research & Development,,4,Other,1,40,4.0,Male,41,3,2.0,Healthcare Representative,4,Married,6465,19121.0,2,Y,Yes,13,3,4,80,0,9,,4,,2,1.0,3
30.0,No,Travel_Rarely,125,Research & Development,9.0,2,Medical,1,41,,Male,83,2,1.0,Laboratory Technician,3,,2206,16117.0,1,Y,No,13,3,1,80,0,10,5.0,3,10.0,0,1.0,8
39.0,Yes,Travel_Rarely,895,Sales,,3,Technical Degree,1,42,4.0,Male,56,3,,Sales Representative,4,Married,2086,3335.0,3,Y,No,14,3,3,80,1,19,6.0,4,,0,0.0,0
,Yes,Travel_Rarely,813,Research & Development,1.0,3,Medical,1,45,2.0,Male,61,3,1.0,Research Scientist,4,Married,2293,3020.0,2,Y,Yes,16,3,1,80,1,6,2.0,2,2.0,0,,0
,No,Travel_Rarely,1273,Research & Development,2.0,2,Medical,1,46,,Female,72,4,1.0,Research Scientist,3,,2645,21923.0,1,Y,No,12,3,4,80,2,6,,2,5.0,3,1.0,4
,Yes,Travel_Rarely,869,Sales,3.0,2,Marketing,1,47,1.0,Male,86,2,,Sales Representative,3,,2683,3810.0,1,Y,Yes,14,3,3,80,0,3,2.0,3,,2,,2
,No,Travel_Rarely,890,Sales,2.0,3,Marketing,1,49,4.0,Female,97,3,,Sales Representative,4,Married,2014,9687.0,1,Y,No,13,3,1,80,0,2,,3,2.0,2,2.0,2
36.0,No,Travel_Rarely,852,Research & Development,,4,Life Sciences,1,51,2.0,Female,82,2,,Research Scientist,1,Married,3419,13072.0,9,Y,Yes,14,3,4,80,1,6,,4,1.0,1,0.0,0
33.0,No,Travel_Frequently,1141,Sales,,3,Life Sciences,1,52,,Female,42,4,2.0,Sales Executive,1,Married,5376,,2,Y,No,19,3,1,80,2,10,3.0,3,5.0,3,1.0,3
,No,Travel_Rarely,464,Research & Development,4.0,2,Other,1,53,3.0,Male,75,3,1.0,Laboratory Technician,4,Divorced,1951,10910.0,1,Y,No,12,3,3,80,1,1,3.0,3,1.0,0,0.0,0
,No,Travel_Rarely,1240,Research & Development,2.0,4,Life Sciences,1,54,,Female,33,3,1.0,Laboratory Technician,1,Divorced,2341,19715.0,1,Y,No,13,3,4,80,1,1,,3,1.0,0,0.0,0
,Yes,Travel_Rarely,1357,Research & Development,25.0,3,Life Sciences,1,55,,Male,48,1,,Laboratory Technician,3,Single,2293,10558.0,1,Y,No,12,3,3,80,0,1,,2,1.0,0,,1
27.0,No,Travel_Frequently,994,Sales,8.0,3,Life Sciences,1,56,,Male,37,3,3.0,Sales Executive,3,,8726,,1,Y,No,15,3,4,80,0,9,0.0,3,,8,1.0,7
30.0,No,Travel_Frequently,721,Research & Development,,2,Medical,1,57,3.0,Female,58,3,,Laboratory Technician,4,,4011,10781.0,1,Y,No,23,4,4,80,0,12,2.0,3,12.0,8,3.0,7
,Yes,Travel_Rarely,1360,Research & Development,,3,Technical Degree,1,58,,Female,49,3,5.0,Research Director,3,,19545,16280.0,1,Y,No,12,3,4,80,0,23,0.0,3,,15,15.0,8
,No,Non-Travel,1065,Sales,,4,Marketing,1,60,,Male,72,3,2.0,Sales Executive,3,Single,4568,10034.0,0,Y,No,20,4,3,80,0,10,,3,,5,,7
37.0,No,Travel_Rarely,408,Research & Development,,2,Life Sciences,1,61,,Male,73,3,1.0,Research Scientist,2,Married,3022,,4,Y,No,21,4,1,80,0,8,,3,1.0,0,0.0,0
46.0,No,Travel_Frequently,1211,Sales,,4,Marketing,1,62,1.0,Male,98,3,,Sales Executive,4,,5772,20445.0,4,Y,Yes,21,4,3,80,0,14,4.0,3,9.0,6,0.0,8
35.0,No,Travel_Rarely,1229,Research & Development,8.0,1,Life Sciences,1,63,4.0,Male,36,4,1.0,Laboratory Technician,4,Married,2269,,1,Y,No,19,3,4,80,0,1,2.0,3,1.0,0,0.0,1
48.0,Yes,Travel_Rarely,626,Research & Development,1.0,2,Life Sciences,1,64,,Male,98,2,,Laboratory Technician,3,,5381,,9,Y,Yes,13,3,4,80,0,23,2.0,3,1.0,0,0.0,0
28.0,Yes,Travel_Rarely,1434,Research & Development,,4,Technical Degree,1,65,3.0,Male,50,3,1.0,Laboratory Technician,3,Single,3441,,1,Y,Yes,13,3,3,80,0,2,3.0,2,,2,2.0,2
44.0,No,Travel_Rarely,1488,Sales,1.0,5,Marketing,1,68,2.0,Female,75,3,2.0,Sales Executive,1,Divorced,5454,4009.0,5,Y,Yes,21,4,3,80,1,9,,2,4.0,3,,3
35.0,No,Non-Travel,1097,Research & Development,11.0,2,Medical,1,70,,Male,79,2,,Healthcare Representative,1,Married,9884,8302.0,2,Y,Yes,13,3,3,80,1,10,3.0,3,4.0,0,,3
,No,Travel_Rarely,1443,Sales,23.0,3,Marketing,1,72,,Female,47,2,,Sales Executive,4,Married,4157,21436.0,7,Y,Yes,19,3,3,80,1,5,2.0,2,2.0,2,0.0,0
,No,Travel_Frequently,515,Research & Development,1.0,2,Life Sciences,1,73,,Female,98,3,3.0,Research Director,4,Single,13458,,1,Y,Yes,12,3,3,80,0,15,,3,,14,,12
35.0,No,Travel_Frequently,853,Sales,18.0,5,Life Sciences,1,74,,Male,71,3,3.0,Sales Executive,1,,9069,11031.0,1,Y,No,22,4,4,80,1,9,3.0,2,9.0,8,1.0,8
35.0,No,Travel_Rarely,1142,Research & Development,23.0,4,Medical,1,75,3.0,Female,30,3,,Laboratory Technician,1,Married,4014,16002.0,3,Y,Yes,15,3,3,80,1,4,3.0,3,2.0,2,,2
31.0,No,Travel_Rarely,655,Research & Development,7.0,4,Life Sciences,1,76,,Male,48,3,,Laboratory Technician,4,,5915,9528.0,3,Y,No,22,4,4,80,1,10,,2,,7,1.0,7
,No,Travel_Rarely,1115,Research & Development,1.0,4,Life Sciences,1,77,1.0,Male,51,2,,Manufacturing Director,3,Divorced,5993,2689.0,1,Y,No,18,3,3,80,1,7,,4,,5,,7
32.0,No,Travel_Rarely,427,Research & Development,,3,Medical,1,78,,Male,33,3,2.0,Manufacturing Director,4,Married,6162,,1,Y,Yes,22,4,2,80,1,9,3.0,3,,8,,8
38.0,No,Travel_Frequently,653,Research & Development,29.0,5,Life Sciences,1,79,,Female,50,3,2.0,Laboratory Technician,4,Single,2406,5456.0,1,Y,No,11,3,4,80,0,10,2.0,3,10.0,3,9.0,9
50.0,No,Travel_Rarely,989,Research & Development,,2,Medical,1,80,,Female,43,2,,Research Director,3,Divorced,18740,,5,Y,Yes,12,3,4,80,1,29,,2,27.0,3,,8
,No,Travel_Rarely,1435,Sales,,3,Life Sciences,1,81,1.0,Female,99,3,3.0,Sales Executive,1,Single,7637,2354.0,7,Y,No,11,3,4,80,0,28,3.0,2,,16,7.0,9
,No,Travel_Rarely,1223,Research & Development,,3,Technical Degree,1,83,3.0,Female,59,3,3.0,Healthcare Representative,3,,10096,8202.0,1,Y,No,13,3,2,80,3,17,2.0,3,,14,,8
55.0,No,Travel_Rarely,836,Research & Development,,3,Medical,1,84,,Female,33,3,,Manager,3,,14756,,2,Y,Yes,14,3,3,80,3,21,2.0,3,,0,0.0,2
,No,Travel_Frequently,1195,Research & Development,11.0,3,Life Sciences,1,85,2.0,Male,95,2,,Manufacturing Director,2,Single,6499,22656.0,1,Y,No,13,3,3,80,0,6,3.0,3,6.0,5,0.0,3
,No,Travel_Rarely,1339,Research & Development,,3,Life Sciences,1,86,2.0,Male,59,3,3.0,Research Scientist,1,Divorced,9724,,2,Y,No,17,3,3,80,1,25,2.0,3,1.0,0,,0
35.0,No,Travel_Frequently,664,Research & Development,,3,Medical,1,88,,Male,79,3,1.0,Research Scientist,1,,2194,5868.0,4,Y,No,13,3,4,80,1,5,,2,3.0,2,,2
,Yes,Travel_Rarely,318,Research & Development,,3,Medical,1,90,4.0,Male,79,2,1.0,Research Scientist,3,,3388,,0,Y,Yes,17,3,1,80,1,2,,2,,0,,0
59.0,No,Travel_Frequently,1225,Sales,,1,Life Sciences,1,91,1.0,Female,57,2,,Sales Executive,3,Single,5473,24668.0,7,Y,No,11,3,4,80,0,20,2.0,2,,3,1.0,3
,No,Travel_Rarely,1328,Research & Development,2.0,3,Life Sciences,1,94,3.0,Male,76,3,1.0,Research Scientist,2,,2703,4956.0,0,Y,No,23,4,4,80,1,6,,3,5.0,4,0.0,4
,No,Travel_Rarely,1082,Research & Development,1.0,4,Medical,1,95,3.0,Male,87,3,1.0,Research Scientist,2,Single,2501,,1,Y,No,17,3,2,80,0,1,,3,1.0,1,1.0,0
32.0,No,Travel_Rarely,548,Research & Development,1.0,3,Life Sciences,1,96,,Male,66,3,2.0,Research Scientist,2,Married,6220,,1,Y,No,17,3,2,80,2,10,3.0,3,10.0,4,,9
36.0,No,Travel_Rarely,132,Research & Development,6.0,3,Life Sciences,1,97,,Female,55,4,1.0,Laboratory Technician,4,,3038,,3,Y,No,12,3,2,80,0,5,3.0,3,,0,0.0,0
,No,Travel_Rarely,746,Research & Development,8.0,4,Life Sciences,1,98,3.0,Female,61,3,,Manufacturing Director,4,,4424,20682.0,1,Y,No,23,4,4,80,0,11,2.0,3,,7,,8
35.0,No,Travel_Rarely,776,Sales,,4,Marketing,1,100,3.0,Male,32,2,2.0,Sales Executive,1,Single,4312,23016.0,0,Y,No,14,3,2,80,0,16,2.0,3,15.0,13,2.0,8
,No,Travel_Rarely,193,Research & Development,6.0,4,Other,1,101,4.0,Male,52,3,3.0,Research Director,1,Married,13245,,4,Y,Yes,14,3,2,80,0,17,,4,0.0,0,,0
37.0,No,Travel_Rarely,397,Research & Development,,4,Medical,1,102,,Male,30,3,,Research Director,3,Single,13664,25258.0,4,Y,No,13,3,1,80,0,16,,4,5.0,2,0.0,2
,No,Travel_Rarely,945,Human Resources,,2,Medical,1,103,,Male,80,3,,Human Resources,2,Divorced,5021,,8,Y,Yes,22,4,4,80,1,16,2.0,3,,2,0.0,2
,No,Travel_Rarely,852,Research & Development,1.0,1,Life Sciences,1,104,4.0,Male,55,2,2.0,Laboratory Technician,4,Married,5126,,1,Y,Yes,12,3,3,80,2,10,,2,10.0,8,3.0,0
,No,Travel_Rarely,1214,Research & Development,1.0,3,Medical,1,105,2.0,Male,30,2,1.0,Research Scientist,3,Single,2859,26278.0,1,Y,No,18,3,1,80,0,6,3.0,3,6.0,4,0.0,4
,No,Travel_Rarely,111,Sales,1.0,2,Life Sciences,1,106,1.0,Male,70,3,3.0,Sales Executive,4,Married,10239,,3,Y,No,14,3,4,80,1,24,4.0,3,1.0,0,,0
,No,Non-Travel,573,Research & Development,6.0,3,Medical,1,107,2.0,Female,79,1,2.0,Research Scientist,4,Divorced,5329,15717.0,7,Y,Yes,12,3,4,80,3,17,,3,13.0,11,1.0,9
34.0,No,Travel_Rarely,1153,Research & Development,1.0,2,Medical,1,110,1.0,Male,94,3,2.0,Manufacturing Director,2,Married,4325,,1,Y,No,15,3,3,80,0,5,,3,5.0,2,1.0,3
,No,Travel_Rarely,1400,Research & Development,7.0,3,Life Sciences,1,112,,Male,49,1,3.0,Manufacturing Director,4,Single,7260,21698.0,4,Y,No,11,3,1,80,0,37,,2,,4,0.0,2
,No,Travel_Rarely,541,Sales,2.0,1,Technical Degree,1,113,3.0,Male,62,3,,Sales Representative,1,Divorced,2322,,3,Y,No,13,3,3,80,1,3,3.0,3,0.0,0,0.0,0
51.0,No,Travel_Rarely,432,Research & Development,9.0,4,Life Sciences,1,116,4.0,Male,96,3,1.0,Laboratory Technician,4,Married,2075,18725.0,3,Y,No,23,4,2,80,2,10,,3,4.0,2,0.0,3
30.0,No,Travel_Rarely,288,Research & Development,2.0,3,Life Sciences,1,117,3.0,Male,99,2,2.0,Healthcare Representative,4,Married,4152,15830.0,1,Y,No,19,3,1,80,3,11,,3,,10,10.0,8
,Yes,Travel_Rarely,669,Sales,9.0,2,Medical,1,118,,Male,64,2,3.0,Sales Executive,4,Single,9619,13596.0,1,Y,No,16,3,4,80,0,9,3.0,3,9.0,8,,7
,No,Travel_Frequently,530,Research & Development,1.0,4,Life Sciences,1,119,3.0,Male,78,2,,Healthcare Representative,2,Married,13503,14115.0,1,Y,No,22,4,4,80,1,22,3.0,2,,3,,11
,No,Travel_Rarely,632,Sales,21.0,4,Marketing,1,120,3.0,Male,71,3,2.0,Sales Executive,4,Single,5441,,0,Y,Yes,22,4,4,80,0,11,,1,,7,,0
30.0,No,Travel_Rarely,1334,Sales,,2,Medical,1,121,3.0,Female,63,2,,Sales Executive,2,,5209,19760.0,1,Y,Yes,12,3,2,80,3,11,,2,11.0,8,2.0,7
,No,Travel_Frequently,638,Research & Development,,3,Medical,1,124,3.0,Male,40,2,3.0,Healthcare Representative,1,,10673,,2,Y,Yes,13,3,3,80,1,21,5.0,2,10.0,9,9.0,5
32.0,No,Travel_Rarely,1093,Sales,6.0,4,Medical,1,125,,Male,87,3,,Sales Executive,3,Single,5010,,1,Y,No,16,3,1,80,0,12,0.0,3,11.0,8,,7
54.0,No,Travel_Rarely,1217,Research & Development,,4,Technical Degree,1,126,1.0,Female,60,3,,Research Director,3,,13549,,9,Y,No,12,3,1,80,1,16,5.0,1,4.0,3,,3
24.0,No,Travel_Rarely,1353,Sales,3.0,2,Other,1,128,1.0,Female,33,3,2.0,Sales Executive,3,Married,4999,17519.0,0,Y,No,21,4,1,80,1,4,2.0,2,3.0,2,,2
28.0,No,Non-Travel,120,Sales,4.0,3,Medical,1,129,,Male,43,3,2.0,Sales Executive,3,,4221,8863.0,1,Y,No,15,3,2,80,0,5,3.0,4,5.0,4,,4
58.0,No,Travel_Rarely,682,Sales,10.0,4,Medical,1,131,4.0,Male,37,3,4.0,Sales Executive,3,Single,13872,24409.0,0,Y,No,13,3,3,80,0,38,,2,,10,,8
44.0,No,Non-Travel,489,Research & Development,23.0,3,Medical,1,132,,Male,67,3,2.0,Laboratory Technician,2,,2042,25043.0,4,Y,No,12,3,3,80,1,17,,4,3.0,2,,2
37.0,Yes,Travel_Rarely,807,Human Resources,,4,Human Resources,1,133,,Male,63,3,,Human Resources,1,Divorced,2073,,4,Y,Yes,22,4,4,80,0,7,3.0,3,,2,0.0,2
32.0,No,Travel_Rarely,827,Research & Development,,1,Life Sciences,1,134,4.0,Male,71,3,,Research Scientist,1,Single,2956,15178.0,1,Y,No,13,3,4,80,0,1,,3,1.0,0,,0
,Yes,Travel_Frequently,871,Research & Development,,3,Life Sciences,1,137,,Female,66,2,,Laboratory Technician,4,Single,2926,19783.0,1,Y,Yes,18,3,2,80,0,1,5.0,3,1.0,0,,0
,No,Travel_Rarely,665,Research & Development,,4,Other,1,138,,Female,41,3,,Research Scientist,3,,4809,,1,Y,No,14,3,3,80,0,16,3.0,3,16.0,13,2.0,10
37.0,No,Non-Travel,1040,Research & Development,2.0,2,Life Sciences,1,139,3.0,Male,100,2,,Healthcare Representative,4,,5163,,5,Y,No,14,3,4,80,1,17,2.0,4,1.0,0,,0
59.0,No,Non-Travel,1420,Human Resources,2.0,4,Human Resources,1,140,,Female,32,2,,Manager,4,Married,18844,,9,Y,No,21,4,4,80,1,30,3.0,3,3.0,2,2.0,2
,No,Travel_Frequently,1115,Research & Development,,3,Life Sciences,1,141,1.0,Female,73,3,5.0,Research Director,2,,18172,9755.0,3,Y,Yes,19,3,1,80,0,28,,2,8.0,3,0.0,7
25.0,Yes,Travel_Rarely,240,Sales,5.0,3,Marketing,1,142,3.0,Male,46,2,,Sales Executive,3,Single,5744,,1,Y,Yes,11,3,4,80,0,6,1.0,3,6.0,4,0.0,3
25.0,No,Travel_Rarely,1280,Research & Development,7.0,1,Medical,1,143,,Male,64,2,,Research Scientist,4,Married,2889,26897.0,1,Y,No,11,3,3,80,2,2,2.0,3,2.0,2,2.0,1
,No,Travel_Rarely,534,Research & Development,15.0,3,Medical,1,144,2.0,Female,59,3,1.0,Laboratory Technician,4,,2871,23785.0,1,Y,No,15,3,3,80,0,1,5.0,3,,0,0.0,0
,No,Travel_Frequently,1456,Research & Development,1.0,4,Medical,1,145,1.0,Female,30,2,3.0,Healthcare Representative,1,Single,7484,25796.0,3,Y,No,20,4,3,80,0,23,,2,13.0,12,,8
,Yes,Travel_Frequently,658,Research & Development,,3,Life Sciences,1,147,1.0,Male,66,1,,Laboratory Technician,3,,6074,,1,Y,Yes,24,4,4,80,0,9,,3,9.0,7,,6
54.0,No,Non-Travel,142,Human Resources,26.0,3,Human Resources,1,148,4.0,Female,30,4,4.0,Manager,4,Single,17328,,2,Y,Yes,12,3,3,80,0,23,3.0,3,5.0,3,4.0,4
24.0,No,Travel_Rarely,1127,Research & Development,,1,Life Sciences,1,150,2.0,Male,52,3,1.0,Laboratory Technician,3,Married,2774,13257.0,0,Y,No,12,3,3,80,1,6,2.0,3,,3,1.0,2
34.0,No,Travel_Rarely,1031,Research & Development,,4,Life Sciences,1,151,3.0,Female,45,2,2.0,Research Scientist,2,Divorced,4505,,6,Y,No,15,3,3,80,1,12,,3,,0,0.0,0
,No,Travel_Rarely,1189,Sales,,3,Life Sciences,1,152,,Male,87,3,3.0,Sales Executive,4,,7428,14506.0,2,Y,No,12,3,1,80,0,12,,3,,3,1.0,3
34.0,No,Travel_Rarely,1354,Research & Development,5.0,3,Medical,1,153,,Female,45,2,3.0,Manager,1,Single,11631,5615.0,2,Y,No,12,3,4,80,0,14,6.0,3,11.0,10,5.0,8
,No,Travel_Frequently,1467,Sales,11.0,2,Technical Degree,1,154,2.0,Female,92,3,3.0,Sales Executive,4,,9738,22952.0,0,Y,No,14,3,3,80,1,10,,3,9.0,7,2.0,8
,No,Travel_Rarely,922,Research & Development,,2,Life Sciences,1,155,,Female,39,3,,Laboratory Technician,4,Divorced,2835,2561.0,5,Y,No,22,4,1,80,1,7,2.0,3,1.0,0,0.0,0
43.0,No,Travel_Frequently,394,Sales,,2,Life Sciences,1,158,3.0,Male,92,3,,Manager,4,Married,16959,,1,Y,Yes,12,3,4,80,2,25,3.0,4,,12,4.0,12
30.0,No,Travel_Frequently,1312,Research & Development,23.0,3,Life Sciences,1,159,1.0,Male,96,1,,Research Scientist,3,Divorced,2613,,1,Y,No,25,4,3,80,3,10,2.0,2,10.0,7,,9
33.0,No,Non-Travel,750,Sales,22.0,2,Marketing,1,160,3.0,Male,95,3,2.0,Sales Executive,2,,6146,15480.0,0,Y,No,13,3,1,80,1,8,,4,7.0,7,,7
56.0,Yes,Travel_Rarely,441,Research & Development,14.0,4,Life Sciences,1,161,2.0,Female,72,3,,Research Scientist,2,Married,4963,,9,Y,Yes,18,3,1,80,3,7,2.0,3,5.0,4,4.0,3
51.0,No,Travel_Rarely,684,Research & Development,,3,Life Sciences,1,162,,Male,51,3,,Research Director,3,Single,19537,,7,Y,No,13,3,3,80,0,23,,3,20.0,18,15.0,15
31.0,Yes,Travel_Rarely,249,Sales,6.0,4,Life Sciences,1,163,2.0,Male,76,1,,Sales Executive,3,Married,6172,,4,Y,Yes,18,3,2,80,0,12,3.0,2,7.0,7,,7
,No,Travel_Rarely,841,Research & Development,,3,Other,1,164,3.0,Female,46,2,1.0,Research Scientist,2,Married,2368,23300.0,1,Y,No,19,3,3,80,0,5,3.0,2,,4,4.0,3
,Yes,Travel_Rarely,147,Research & Development,23.0,4,Medical,1,165,,Female,94,3,3.0,Healthcare Representative,4,Married,10312,3465.0,1,Y,No,12,3,4,80,1,40,,2,,10,15.0,6
19.0,Yes,Travel_Rarely,528,Sales,22.0,1,Marketing,1,167,,Male,50,3,1.0,Sales Representative,3,Single,1675,26820.0,1,Y,Yes,19,3,4,80,0,0,2.0,2,,0,0.0,0
22.0,No,Travel_Rarely,594,Research & Development,,1,Technical Degree,1,169,,Male,100,3,,Laboratory Technician,4,,2523,19299.0,0,Y,No,14,3,3,80,1,3,,3,2.0,1,,1
49.0,No,Travel_Rarely,470,Research & Development,20.0,4,Medical,1,170,3.0,Female,96,3,,Manufacturing Director,1,Married,6567,5549.0,1,Y,No,14,3,3,80,0,16,2.0,2,15.0,11,5.0,11
43.0,No,Travel_Frequently,957,Research & Development,28.0,3,Medical,1,171,,Female,72,4,1.0,Research Scientist,3,Single,4739,16090.0,4,Y,No,12,3,4,80,0,18,2.0,3,,2,1.0,2
,No,Travel_Frequently,809,Sales,,3,Marketing,1,174,3.0,Female,77,3,,Sales Executive,4,,9208,6645.0,4,Y,No,11,3,4,80,0,16,3.0,3,2.0,2,2.0,1
